ID;Dateiname;URL;Format;Breite;Hoehe;Dateigroesse_KB;Alt_Text;Verwendung;Qualitaet_Wiederverwendbar;Empfehlung_fuer_Relaunch
2514;Saechsische_Aufbaubank_201x_logo.svg.webp;https://bau-mueller.eu/wp-content/uploads/2026/03/Saechsische_Aufbaubank_201x_logo.svg.webp;webp;960;463;18.6;Das Bild zeigt die Buchstaben SAB in fetter dunkelgrüner Schrift neben einem Gitter aus lindgrünen Punkten, die in vier Reihen angeordnet sind, wobei die Punkte von links nach rechts kleiner werden.;Logo / Markenauftritt;Ja (Gesetzt);Als SVG oder verlustfreies WebP ins neue Header- & Footer-Template übernehmen
2513;EU_Logo.webp;https://bau-mueller.eu/wp-content/uploads/2026/03/EU_Logo.webp;webp;910;922;27.2;Die Flagge der Europäischen Union mit einem Kreis aus 12 gelben Sternen auf blauem Grund, darüber die deutsche Aufschrift Kofinanziert von der Europäischen Union.;Logo / Markenauftritt;Ja (Gesetzt);Als SVG oder verlustfreies WebP ins neue Header- & Footer-Template übernehmen
2512;Sachen.webp;https://bau-mueller.eu/wp-content/uploads/2026/03/Sachen.webp;webp;1000;1235;30.7;Das Bild zeigt das Wappen des Freistaates Sachsen mit dem grünen Schriftzug Freistaat Sachsen über einem Schild mit schwarzen und goldenen Streifen und einer grünen Kranznadel, die diagonal über die Streifen verläuft.;Referenzkarte / Leistungs-Detail;Ja;In WebP konvertieren, 800-1000px, Zielgröße <= 100 KB
2485;EFRE-ESF_LO_Kombination_EU-Logo_SachsenSignet-klassisch_HF_RGB_300dpi.jpg;https://bau-mueller.eu/wp-content/uploads/2026/03/EFRE-ESF_LO_Kombination_EU-Logo_SachsenSignet-klassisch_HF_RGB_300dpi.jpg;jpeg;1165;565;126.0;Logo der Europäischen Union und des Freistaats Sachsen mit deutschem Text, der auf die Kofinanzierung durch die EU und die Finanzierung durch den sächsischen Landtag hinweist.;Logo / Markenauftritt;Ja (Gesetzt);Als SVG oder verlustfreies WebP ins neue Header- & Footer-Template übernehmen
2473;Tor-Zimmerei-Mueller.jpeg;https://bau-mueller.eu/wp-content/uploads/2025/08/Tor-Zimmerei-Mueller.jpeg;jpeg;1280;720;273.0;Zimmerei und Holzbau Projekt: Tor Zimmerei Mueller - Baugeschäft Müller;Header / Großbild / Projekt-Hero;Ja;In WebP konvertieren, max. 1920px, Zielgröße <= 200 KB
2398;c3ea0d76-5cd2-4630-a414-be8fb83a1031.webp;https://bau-mueller.eu/wp-content/uploads/2018/11/c3ea0d76-5cd2-4630-a414-be8fb83a1031.webp;webp;1344;755;422.4;Handwerks- und Bauprojekt Referenz: c3ea0d76 5cd2 4630 a414 be8fb83a1031 - Zimmerei & Baugeschäft Müller Colditz;Header / Großbild / Projekt-Hero;Ja;In WebP konvertieren, max. 1920px, Zielgröße <= 200 KB
2373;aa704001-60a5-40bb-86b0-15f04b8ce571.webp;https://bau-mueller.eu/wp-content/uploads/2024/06/aa704001-60a5-40bb-86b0-15f04b8ce571.webp;webp;1152;866;481.5;Handwerks- und Bauprojekt Referenz: aa704001 60a5 40bb 86b0 15f04b8ce571 - Zimmerei & Baugeschäft Müller Colditz;Referenzkarte / Leistungs-Detail;Ja;In WebP konvertieren, 800-1000px, Zielgröße <= 100 KB
2282;AMLogoneu.svg;https://bau-mueller.eu/wp-content/uploads/2023/10/AMLogoneu.svg;svg+xml;100;100;130.5;Zimmerei Mueller Colditz;Logo / Markenauftritt;Ja (Gesetzt);Als SVG oder verlustfreies WebP ins neue Header- & Footer-Template übernehmen
2269;AMLogoneublau.png;https://bau-mueller.eu/wp-content/uploads/2023/10/AMLogoneublau.png;png;575;433;58.5;Zimmerei Müller Colditz;Logo / Markenauftritt;Ja (Gesetzt);Als SVG oder verlustfreies WebP ins neue Header- & Footer-Template übernehmen
2204;cropped-Logo1weiss.png;https://bau-mueller.eu/wp-content/uploads/2023/08/cropped-Logo1weiss.png;png;799;574;9.7;Handwerks- und Bauprojekt Referenz: cropped Logo1weiss.png - Zimmerei & Baugeschäft Müller Colditz;Logo / Markenauftritt;Ja (Gesetzt);Als SVG oder verlustfreies WebP ins neue Header- & Footer-Template übernehmen
